productId,productName,type,scope,title,url,result,status,location
"3","無印良品 化粧水 敏感肌用 高保湿タイプ","official-successor","domestic","無印良品 化粧水 敏感肌用 高保湿","https://www.muji.com/jp/ja/store/cmdty/detail/4550583434991","ok","200",""
"10","ナチュリエ ハトムギ化粧水","official-brand","domestic","ナチュリエ 公式サイト","https://www.naturie-net.jp/","ok","200",""
"10","ナチュリエ ハトムギ化粧水","official-product","domestic","ナチュリエ 商品バリエーション","https://www.naturie-net.jp/variation","ok","200",""
"17","ハダラボ 白潤プレミアム 薬用浸透美白化粧水","official-product","domestic","肌ラボ 白潤プレミアム 薬用浸透美白化粧水","https://www.shop.rohto.co.jp/category/skincare/hadalabo/shirojyun-premium/168446.html","ok","200",""
"19","DEW ローション コンセントレート","official-successor","domestic","DEW ローション","https://www.kanebo-cosmetics.jp/dew/products/dew/lotion/","ok","200",""
"22","Anua PDRN ヒアルロン酸カプセル100セラム","official-product","domestic","Anua PDRN ヒアルロン酸カプセル100セラム","https://anuashop.jp/products/side0011","ok","200",""
"23","メディキューブ PDRN ピンクアンプル","official-product","domestic","MEDICUBE PDRN ピンクペプチドセラム","https://themedicube.jp/products/pdrn-pinkpeptideserum","ok","200",""
"23","メディキューブ PDRN ピンクアンプル","official-product","overseas","Medicube Rose PDRN Pink Peptide Serum","https://medicube.us/products/rose-pdrn-pink-peptide-serum","ok","200",""
"24","オバジ C25セラム ネオ","official-product","domestic","オバジ C25セラム ネオ","https://www.shop.rohto.co.jp/category/skincare/obagi/obagi-c/199891.html","ok","200",""
"28","メラノCC 薬用しみ集中対策 美容液","official-product","domestic","メラノCC 薬用 しみ 集中対策 美容液","https://jp.rohto.com/melanocc/essence/","ok","200",""
"28","メラノCC 薬用しみ集中対策 美容液","official-brand","domestic","メラノCC 美容液 使い方・ラインアップ","https://jp.rohto.com/melanocc/promotion/essence/","ok","200",""
"30","イニスフリー ブラックティー ユースセラム","official-product","domestic","イニスフリー ブラックティー ユース セラム","https://www.innisfree.jp/products/black-tea-youth-serum-1566","ok","200",""
"36","NUMBUZIN 3番 すべすべキメケアセラム","official-product","domestic","numbuzin 3番 すべすべキメケアセラム","https://numbuzin.jp/product/3%E7%95%AA-%E3%81%99%E3%81%B9%E3%81%99%E3%81%B9%E3%82%AD%E3%83%A1%E3%82%B1%E3%82%A2%E3%82%BB%E3%83%A9%E3%83%A0/20/","ok","200",""
"37","ニベアクリーム 大缶","official-product","domestic","ニベアクリーム 大缶","https://www.nivea.co.jp/products/nivea-japan/all-purpose-creams/%E3%83%8B%E3%83%99%E3%82%A2%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E5%A4%A7%E7%BC%B6","ok","200",""
"37","ニベアクリーム 大缶","official-brand","domestic","ニベアクリームの仕様","https://www.nivea.co.jp/highlights/youcan","ok","200",""
"38","クレ・ド・ポー ボーテ ラ クレームN","official-successor","domestic","クレ・ド・ポー ボーテ ラ・クレーム","https://www.cledepeau-beaute.com/jp/products/skincare/creams/H071.html","ok","200",""
"39","AESTURA アトバリア365 クリーム","official-product","domestic","AESTURA アトバリア365 クリーム","https://jp.aestura.com/products/atobarrier365-cream","ok","200",""
"39","AESTURA アトバリア365 クリーム","official-product","overseas","AESTURA ATOBARRIER365 Cream","https://int.aestura.com/products/atobarrier365-cream","ok","200",""
"40","キュレル 潤浸保湿フェイスクリーム","official-product","domestic","キュレル 潤浸保湿 フェイスクリーム","https://www.kao-kirei.com/ja/item/kbb/curel/4901301423221/","ok","200",""
"40","キュレル 潤浸保湿フェイスクリーム","official-brand","domestic","キュレル フェイスクリーム","https://www.kao-kirei.com/ja/official/curel/special/facecream/","ok","200",""
"49","ファンケル マイルドクレンジングオイル","official-product","domestic","ファンケル マイルドクレンジング オイル","https://www.fancl.co.jp/beauty/micle/index.html?scid=Mai-Aut-D_625_01","ok","200",""
"56","ビオレUV アクアリッチ ウォータリーエッセンス","official-product","domestic","ビオレUV アクアリッチ ウォータリーエッセンス","https://www.kao-kirei.com/ja/item/khg/bioresarasarauv/4901301447647/","ok","200",""
"62","ルルルン プレシャス GREEN（バランス）","official-product","domestic","ルルルンプレシャス GREEN（バランス）旧仕様","https://lululun.com/shop/products/pg4fb-2111","ok","200",""
"62","ルルルン プレシャス GREEN（バランス）","official-successor","domestic","ルルルンプレシャス GREEN（Glow Up）","https://lululun.com/shop/products/LUAA091101","ok","200",""
"64","我的美麗日記（私のきれい日記）黒真珠マスク","official-product","domestic","我的美麗日記 黒真珠マスク","https://www.mybeautydiary-jp.com/lineup/blackpearl.html","ok","200",""
"64","我的美麗日記（私のきれい日記）黒真珠マスク","official-brand","domestic","我的美麗日記 商品ラインアップ","https://www.mybeautydiary-jp.com/lineup/","ok","200",""
"75","エスティローダー アドバンス ナイト リペア","official-successor","domestic","エスティ ローダー アドバンス ナイト リペア SMR コンプレックス","https://www.esteelauder.jp/product/689/77491/product-catalog/skincare/repair-serum/advanced-night-repair/synchronized-multi-recovery-complex","ok","200",""
"82","ビオデルマ サンシビオ エイチツーオー D","official-brand","domestic","ビオデルマ よくある質問","https://www.bioderma.jp/pages/faq","ok","200",""
"82","ビオデルマ サンシビオ エイチツーオー D","official-brand","domestic","ビオデルマ 価格改定商品一覧","https://www.bioderma.jp/pages/news_price","ok","200",""
"91","キールズ アイ トリートメント AV","official-product","domestic","キールズ アイ トリートメント AV","https://www.kiehls.jp/skincare/face-product/face-eye/creamy-eye-treatment-with-avocado/3700194714413.html","blocked","403",""
"95","CNP Laboratory プロポリス アンプルミスト","official-product","domestic","CNP プロP ミスト","https://cnp-laboratory.jp/item/99/","ok","200",""
"117","ドクターシーラボ アクアコラーゲンゲル スーパーモイスチャー","official-successor","domestic","薬用アクアコラーゲンゲル スーパーモイスチャーEX","https://www.ci-labo.com/shop/item/SkinCare/AquaCollagengel/00112094.html","ok","200",""
"122","ラロッシュポゼ シカプラスト バーム B5+","official-product","domestic","ラ ロッシュ ポゼ シカプラスト リペアクリーム B5+","https://www.laroche-posay.jp/product/cicaplast-baume-b5.html","blocked","403",""
"135","DHC 薬用ディープクレンジングオイル","official-brand","domestic","DHC 薬用ディープクレンジングオイル","https://top.dhc.co.jp/contents/skin/deepcleansing/","ok","200",""
"135","DHC 薬用ディープクレンジングオイル","official-pdf","domestic","DHC 薬用ディープクレンジングオイル 公式資料","https://top.dhc.co.jp/contents/guide/newsrelease/pdf/130702.pdf","ok","200",""
"142","コーセー 米肌 活潤リフト クリーム","official-product","domestic","米肌 活潤リフトクリーム","https://maihada.jp/site/g/gPREC/","ok","200",""
"154","無印良品 ホホバオイル","official-product","domestic","無印良品 ホホバオイル","https://www.muji.com/jp/ja/store/cmdty/detail/4550584085369","ok","200",""
"157","KOSE 雪肌精 みずみずしい化粧水","official-successor","domestic","薬用雪肌精 ブライトニング エッセンス ローション","https://maison.kose.co.jp/site/sekkisei/g/gMTSE/","ok","200",""
"159","HAKU メラノフォーカスEV","official-successor","domestic","HAKU メラノフォーカスIV","https://www.shiseido.co.jp/haku/lineup/melanofocusiv/","ok","200",""
"159","HAKU メラノフォーカスEV","official-brand","domestic","HAKU よくある質問","https://www.shiseido.co.jp/haku/faq/","ok","200",""
"166","HotTab 重炭酸入浴剤","official-product","domestic","薬用 HOT TAB CLASSIC","https://tansan-kenko.com/products/MCL090000/","ok","200",""
"166","HotTab 重炭酸入浴剤","official-product","domestic","HOT TAB WELLNESS","https://tansan-kenko.com/products/WEL/","ok","200",""
"168","アテニア スキンクリア クレンズ オイル アロマタイプ","official-product","domestic","アテニア スキンクリア クレンズ オイル","https://www.attenir.co.jp/item/1662-47","ok","200",""
"168","アテニア スキンクリア クレンズ オイル アロマタイプ","official-brand","domestic","スキンクリア クレンズ オイル 特設ページ","https://www.attenir.co.jp/special/cleanse/index.html","ok","200",""
"177","コーセー 米肌 肌潤改善エッセンス","official-product","domestic","米肌 肌潤改善エッセンス","https://maihada.jp/site/g/gPRBE/","ok","200",""
"179","VT リードルショット 300","official-product","domestic","VT リードルショット300","https://www.vtcosmetics.jp/product/%E3%83%AA%E3%83%BC%E3%83%89%E3%83%AB%E3%82%B7%E3%83%A7%E3%83%83%E3%83%88300/653/","ok","200",""
"192","キールズ DS RTN リニューイング セラム","official-product","domestic","キールズ DS RTN リニューイング セラム","https://www.kiehls.jp/skincare/face-product/face-serums/retinol-skin-renewing-daily-micro-dose-serum/WW0124KIE.html","blocked","403",""
"193","ロゼット 洗顔パスタ アクネクリア","official-product","domestic","ロゼット洗顔パスタ アクネクリア","https://www.rosette.jp/Form/Product/ProductDetail.aspx?pid=054186-900&shop=0","ok","200",""
"193","ロゼット 洗顔パスタ アクネクリア","official-brand","domestic","ロゼット よくある質問","https://www.rosette.jp/Page/guide_faq.aspx","ok","200",""
"196","グーダル 青みかんビタCクレンジングフォーム","official-product","domestic","goodal 青みかんビタCクレンジングフォーム","https://goodalcosmetic.jp/products/goodal-green-tangerine-dark-spot-c-v%E3%82%AF%E3%83%AC%E3%83%B3%E3%82%B8%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A9%E3%83%BC%E3%83%A0-150ml","ok","200",""
"196","グーダル 青みかんビタCクレンジングフォーム","official-press-release","domestic","goodal 青みかんビタCクレンジングフォーム 日本発売","https://prtimes.jp/main/html/rd/p/000000043.000056098.html","ok","200",""
"199","ぬちまーす リュウミネ 石鹸","official-pdf","domestic","ぬちまーす 商品案内（リュウミネ 石鹸）","https://www.nutima-su.com/slide/osirase.pdf","ok","200",""
"203","ロート製薬 メラノCC ディープデイケアUV乳液","official-product","domestic","メラノCC ディープデイケアUV乳液","https://www.shop.rohto.co.jp/category/skincare/melanocc/191048.html","ok","200",""
"205","d プログラム 薬用 アクネケア美容液","official-product","domestic","d プログラム 薬用 アクネケア美容液","https://www.shiseido.co.jp/dprogram/product/acnecare_serum/","ok","200",""
"205","d プログラム 薬用 アクネケア美容液","official-product","domestic","資生堂オンラインストア d プログラム 薬用 アクネケア美容液","https://www.shiseido.co.jp/sw/onlinestore/products/H26401.html","ok","200",""
"206","VT CICA マイルドトナーパッド","official-product","domestic","VT CICA マイルドトナーパッド","https://vtcosmetics.jp/product/cica-%E3%83%9E%E3%82%A4%E3%83%AB%E3%83%89%E3%83%88%E3%83%8A%E3%83%BC%E3%83%91%E3%83%83%E3%83%89/220/","ok","200",""
